Turnout,VolandovPercent
0.6295,0.6559
0.7178,0.6942
0.5817,0.66
0.6897,0.6625
0.593,0.6356
0.6453,0.6352
0.6288,0.6708
0.5272,0.6141
0.6151,0.5853
1.0015,0.9992
0.9879,1.0075
0.8618,0.9997
0.8452,0.9986
0.9088,0.9996
1.0445,0.9966
0.8999,0.989
0.8651,0.9956
0.9065,0.9981
0.9434,1.0038
0.9537,1.0007
0.954,1.0004
1.0159,0.9981
0.9227,1.0038
0.9594,1.0007
0.895,1.0004
0.8818,0.9992
0.918,1.0075
0.9222,0.9997
0.9671,0.9986
0.8974,0.9996
0.8833,0.9966
0.9835,0.989
0.9249,0.9956
0.9094,0.9981
0.8168,1.0038
1.0373,1.0007
0.9192,1.0004
0.9592,0.9981
0.8895,1.0038
0.8338,1.0007
0.9029,1.0004
0.8178,0.9992
0.9472,1.0075
0.9561,0.9997
0.9552,0.9986
0.96,0.9996
0.8631,0.9966
0.9316,0.989
0.9705,0.9956
0.9976,0.9981
0.9059,1.0038
0.8699,1.0007
0.7688,1.0004
0.9129,0.9981
0.8573,1.0038
1.0268,1.0007
0.5744,1.0004
0.6968,0.6869
0.7137,0.6741
0.691,0.6429
0.6545,0.6382
0.7181,0.6778
0.6627,0.6967
0.6376,0.6584
0.721,0.6952
0.6918,0.6819
0.6976,0.6721
0.8708,0.9236
0.9258,0.9587
1.0134,0.9335
0.5215,0.5549
0.5843,0.5313
0.5676,0.5218
0.5918,0.5894
0.556,0.5507
0.6024,0.5309
0.6153,0.5569
0.6043,0.5245
0.4969,0.4989
0.5146,0.5141
0.5066,0.5276
0.5207,0.5222
0.5576,0.5186
0.5229,0.5097
0.462,0.5584
0.5862,0.607
0.5194,0.517
0.6329,0.5776
0.5418,0.5511
0.5918,0.5619
0.5737,0.5441
0.4963,0.551
0.5166,0.517
0.5523,0.5238
0.6442,0.5547
0.6872,0.5877
0.5956,0.5407
0.4318,0.5862
0.5687,0.5853
0.5201,0.5176
0.6184,0.6607
0.5398,0.5082
0.5964,0.5856
0.4602,0.5307
0.6121,0.5766
0.4239,0.5035
0.6424,0.5609
0.5506,0.4957
0.5804,0.6015
0.5352,0.5447
0.6034,0.5867
0.5019,0.5526
0.5292,0.5672
0.6432,0.5511
0.5383,0.5406
0.6468,0.5968
0.5614,0.5815
0.5281,0.5221
0.6494,0.6342
0.5701,0.6537
0.5259,0.6048
0.6343,0.6076
0.5796,0.6567
0.6408,0.6118
0.6067,0.6069
0.6077,0.6345
0.6603,0.6453
0.5378,0.6194
0.6362,0.6205
0.6287,0.6121
0.6152,0.6189
0.5999,0.5887
0.5446,0.6305
0.6993,0.6405
0.652,0.643
0.6007,0.6274
0.6347,0.5766
0.6541,0.5913
0.6479,0.6125
0.6654,0.6431
0.5332,0.6169
0.6334,0.6015
0.5103,0.5856
0.552,0.6367
0.5405,0.6045
0.4782,0.5891
0.9996,0.9992
0.9966,1.0075
0.989,0.9997
0.9956,0.9986
0.9981,0.9996
1.0038,0.9966
1.0007,0.989
1.0004,0.9956
1.0038,0.9981
1.0007,1.0038
1.0004,1.0007
0.998,1.0004
0.5655,0.5408
0.5607,0.5444
0.4211,0.5257
0.4993,0.5257
0.6388,0.5871
0.4626,0.5095
0.4516,0.5408
0.5448,0.5444
0.513,0.5257
0.4564,0.5123
0.5042,0.5002
0.5484,0.5401
0.5511,0.5191
0.5197,0.554
0.6119,0.5381
0.5536,0.5404
0.5443,0.5427
0.647,0.6692
0.8451,0.71
0.6446,0.6269
0.7195,0.7267
0.6704,0.6807
0.7022,0.7025
0.7713,0.7062
0.6819,0.6818
0.7634,0.7437
0.6345,0.709
0.5672,0.6866
0.7013,0.6985
0.7203,0.7005
0.6947,0.708
0.4987,0.6149
0.539,0.5963
0.5543,0.5828
0.619,0.6057
0.587,0.5929
0.54,0.5971
0.5539,0.6185
0.6273,0.6045
0.6346,0.6308
0.6127,0.591
0.7223,0.6045
0.5972,0.6138
0.5732,0.5512
0.5944,0.6034
0.5459,0.5634
0.6326,0.5923
0.6172,0.606
0.5547,0.5319
0.6493,0.6077
0.5807,0.584
0.4263,0.536
0.6971,0.6415
0.6358,0.586
0.6496,0.5958
0.6011,0.5731
0.6613,0.5764
0.4763,0.5412
0.5288,0.6077
0.6071,0.6382
0.5526,0.546
0.764,0.6255
0.5998,0.5998
0.6958,0.5765
0.6697,0.6768
0.5768,0.6301
0.6215,0.6143
0.551,0.5954
0.5407,0.5668
0.6021,0.5905
0.989,0.9992
0.9956,1.0075
0.9981,0.9997
1.0038,0.9986
1.0007,0.9996
0.989,0.9966
0.9956,0.989
0.9981,0.9956
1.0038,0.9981
1.0007,1.0038
0.958,1.0007
0.5617,0.5299
0.5003,0.555
0.5476,0.5026
0.4707,0.5049
0.5414,0.5511
0.4929,0.56
0.5994,0.555
0.4669,0.5026
0.444,0.5049
0.5342,0.5511
0.6248,0.56
0.6447,0.5788
0.4121,0.5199
0.4573,0.4966
0.7,0.5516
0.4611,0.5337
0.6282,0.5905
0.5652,0.5408
0.5575,0.5478
0.5753,0.5826
0.6048,0.5986
0.4659,0.5261
0.6382,0.5642
0.5538,0.5755
0.5749,0.5567
0.4902,0.5162
0.9839,0.8707
0.7056,0.7334
0.7321,0.7802
0.7194,0.7461
0.684,0.7028
0.7097,0.7344
0.73,0.7455
0.8206,0.7744
0.8431,0.7633
0.8077,0.7751
0.6311,0.7135
0.8953,0.8478
0.8092,0.7559
0.7368,0.7916
0.7229,0.7386
0.7973,0.762
0.7289,0.7784
0.6952,0.7436
0.7911,0.7705
0.7855,0.8114
0.7293,0.7522
0.7231,0.6932
0.8121,0.7788
0.7097,0.7345
0.8087,0.8021
0.8144,0.8129
0.7939,0.7366
0.7547,0.7597
0.6667,0.7716
0.7324,0.7427
0.8062,0.789
0.7467,0.7753
0.8565,0.7903
0.7391,0.7417
0.7948,0.7716
0.8277,0.8123
0.6423,0.6046
0.5303,0.5508
0.6069,0.5579
0.5945,0.5437
0.5928,0.578
0.5856,0.5813
0.5316,0.5225
0.5312,0.5596
0.5724,0.5416
0.5675,0.5277
0.5176,0.6113
0.7234,0.5768
0.4801,0.602
0.6167,0.5794
0.523,0.592
0.4857,0.5847
0.5327,0.5653
0.5769,0.5376
0.6034,0.5248
0.5405,0.566
0.5904,0.5668
0.4915,0.4766
0.6085,0.612
0.4653,0.5665
0.5204,0.5663
0.5463,0.5897
0.5489,0.5862
0.5987,0.5601
0.6826,0.6255
0.5909,0.6074
0.5864,0.6206
0.6065,0.592
0.6195,0.5757
0.7052,0.6871
0.7445,0.6826
0.5813,0.5666
0.6598,0.6731
0.6737,0.6519
0.6669,0.6848
0.7627,0.7181
0.6624,0.67
0.6008,0.639
0.5351,0.6188
0.6754,0.6967
0.6966,0.7088
0.6757,0.6598
0.686,0.7359
0.71,0.7125
0.6202,0.6488
0.7129,0.6821
0.5492,0.6348
0.7295,0.6453
0.6537,0.6253
0.5686,0.5846
0.6962,0.649
0.6,0.6048
0.632,0.5645
0.547,0.5492
0.6088,0.5842
0.5418,0.5694
0.5425,0.5493
0.5954,0.5988
0.6797,0.625
0.5223,0.5638
0.5929,0.5763
0.636,0.5702
0.6654,0.6136
0.4914,0.5678
0.6258,0.6097
0.569,0.5397
0.6282,0.6087
0.5469,0.5738
0.6144,0.5979
0.6801,0.5813
0.5964,0.5467
0.6026,0.5969
0.6515,0.621
0.5989,0.566
0.6718,0.5946
0.5478,0.5999
0.6964,0.5963
0.5403,0.5736
0.6878,0.6255
0.6047,0.5089
0.5692,0.5715
0.608,0.6212
0.5197,0.5784
0.6272,0.603
0.5937,0.5971
0.4907,0.5335
0.5751,0.6174
0.6054,0.5696
0.5917,0.618
0.497,0.5514
0.5333,0.5626
0.5378,0.5604
0.6064,0.5896
0.4893,0.5687
0.634,0.6154
0.6732,0.6358
0.6145,0.5998
0.6894,0.6747
0.6922,0.6616
0.6755,0.6973
0.5789,0.6291
0.6292,0.6787
0.6424,0.6987
0.6824,0.657
0.601,0.6549
0.6904,0.6483
0.5926,0.6314
0.5616,0.6318
0.6019,0.6187
0.6596,0.696
0.6173,0.6719
0.5724,0.683
0.6089,0.6036
0.6106,0.6253
0.6568,0.6177
0.5823,0.5866
0.7147,0.6665
0.4984,0.5216
0.5028,0.4958
0.6082,0.5436
0.5028,0.5508
0.5646,0.504
0.5517,0.5886
0.5543,0.5306
0.5734,0.4802
0.6901,0.5611
0.5282,0.4923
0.4758,0.5078
0.5634,0.5714
0.594,0.5281
0.5171,0.5626
0.4329,0.4685
0.4448,0.5041
0.5544,0.522
0.604,0.5941
0.5488,0.5303
0.5787,0.5423
0.6543,0.5584
0.5573,0.5459
0.5065,0.5341
0.4905,0.5063
0.5402,0.5453
0.5253,0.5326
0.4683,0.4841
0.6366,0.5821
0.6057,0.5562
0.4663,0.4757
0.5349,0.5004
0.5956,0.6318
0.56,0.609
0.7048,0.6619
0.5935,0.6164
0.6337,0.6443
0.6989,0.6741
0.588,0.5979
0.5574,0.6259
0.6842,0.6691
0.703,0.6846
0.6339,0.6321
0.5931,0.642
0.6477,0.6459
0.6505,0.6072
0.5923,0.6443
0.653,0.5994
0.6231,0.6065
0.6852,0.629
0.6278,0.6363
0.5853,0.5841
0.5907,0.628
0.4978,0.6445
0.5844,0.5849
0.6042,0.6283
0.6425,0.64
0.5766,0.5669
0.6103,0.6114
0.6027,0.6137
0.7072,0.6253
0.4436,0.5614
0.626,0.695
0.5872,0.6731
0.7342,0.6574
0.6524,0.6527
0.6928,0.5902
0.5443,0.6129
0.5661,0.5791
0.6529,0.6562
0.5916,0.6843
0.6568,0.5838
0.634,0.639
0.6267,0.6448
0.6466,0.6252
0.5797,0.5844
0.6249,0.6428
0.5765,0.6206
0.5787,0.6311
0.7676,0.7018
0.6702,0.6816
0.5957,0.6388
0.5686,0.6165
0.656,0.6737
0.671,0.6595
0.6363,0.6215
0.6478,0.6072
0.7378,0.6271
0.5892,0.6078
0.5797,0.6116
0.561,0.5893
0.6309,0.6211
0.6382,0.6421
0.6329,0.6035
0.5716,0.5942
0.6555,0.6059
0.6298,0.6345
0.6555,0.6221
0.7593,0.6082
0.6588,0.6132
0.6435,0.5986
0.6398,0.6144
0.709,0.6488
0.5684,0.6043
0.5717,0.5658
0.6423,0.6135
0.4752,0.6154
0.7041,0.6672
0.6448,0.6135
0.5537,0.5673
0.7189,0.6586
0.5903,0.598
0.571,0.606
0.6549,0.6241
0.6828,0.5839
0.5091,0.6187
0.7195,0.6093
0.6202,0.6015
0.6211,0.5999
0.5032,0.5462
0.5591,0.6153
0.5709,0.6396
0.7101,0.5579
0.5823,0.6223
0.519,0.5639
0.5592,0.5735
0.6948,0.6524
0.5707,0.558
0.6282,0.6227
0.5911,0.5525
0.6589,0.6584
0.6122,0.5731
0.6298,0.6137
0.6638,0.6355
0.5645,0.5677
0.4927,0.5705
0.6555,0.6626
0.5942,0.5768
0.5545,0.5802
0.7072,0.586
0.6816,0.6113
0.608,0.5903
0.6032,0.6103
0.6616,0.6374
0.5096,0.606
0.5485,0.6485
0.6689,0.5815
0.756,0.6339
0.5448,0.5743
0.6533,0.6589
0.6845,0.6441
0.5644,0.5769
0.6477,0.5774
0.7121,0.677
0.6709,0.6404
0.61,0.6359
0.6776,0.6499
0.6032,0.583
0.7187,0.6112
0.5302,0.6187
0.6106,0.6139
0.5594,0.5784
0.5306,0.5777
0.6808,0.6422
0.6041,0.6662
0.5731,0.5601
0.5811,0.6157
0.6044,0.6295
0.5923,0.5999
0.4873,0.5808
0.6233,0.624
0.6217,0.5937
0.5494,0.605
0.5784,0.6234
0.5655,0.6007
0.6752,0.6322
0.5611,0.5834
0.6112,0.6126
0.585,0.5978
0.5865,0.5617
0.5191,0.6053
0.6934,0.5638
0.6178,0.6023
0.6794,0.6535
0.7235,0.6454
0.5765,0.6019
0.5551,0.5541
0.5402,0.5896
0.6363,0.5959
0.4869,0.5324
0.4836,0.5044
0.5635,0.5858
0.6335,0.6078
0.6767,0.588
0.6086,0.5855
0.6372,0.5622
0.5094,0.6047
0.639,0.6477
0.6023,0.6327
0.6861,0.586
0.6921,0.6199
0.7181,0.6409
0.6701,0.6404
0.5425,0.6215
0.6289,0.595
0.7078,0.6495
0.5469,0.6263
0.636,0.6095
0.6246,0.6125
0.6538,0.6361
0.6189,0.6553
0.5905,0.6039
0.6801,0.5874
0.6151,0.634
0.6713,0.5946
0.6127,0.6113
0.654,0.566
0.5202,0.5495
0.6083,0.6373
0.6108,0.6045
0.5868,0.6178
0.5974,0.6385
0.6468,0.6113
0.6101,0.6135
0.5313,0.5771
0.5992,0.6343
0.6637,0.6179
0.6306,0.6492
0.7318,0.6323
0.6458,0.6673
0.5614,0.572
0.5961,0.6224
0.5825,0.5722
0.5049,0.5745
0.6271,0.6469
0.6576,0.5971
0.5013,0.549
0.5582,0.5774
0.6421,0.6039
0.5596,0.555
0.5874,0.5835
0.6658,0.6189
0.6111,0.6064
0.579,0.6154
0.6284,0.6214
0.6918,0.6897
0.6075,0.6046
0.6274,0.6497
0.6257,0.6653
0.5077,0.5579
0.5726,0.5861
0.5732,0.5655
0.579,0.6024
0.5931,0.5594
0.5466,0.6212
0.4936,0.5445
0.6131,0.5966
0.6387,0.6529
0.5597,0.5716
0.6181,0.5916
0.5334,0.5508
0.4821,0.5179
0.3912,0.5331
0.4934,0.5649
0.5124,0.5413
0.6147,0.5816
0.6199,0.5333
0.5988,0.6345
0.5496,0.5971
0.6258,0.5697
0.5832,0.56
0.5256,0.5764
0.6564,0.6006
0.6363,0.6043
0.4358,0.5811
0.5928,0.6109
0.5881,0.588
0.5719,0.5829
0.6614,0.6507
0.7072,0.6368
0.5352,0.5872
0.5382,0.5528
0.5657,0.5623
0.8476,0.8493
0.8947,0.8973
0.9378,0.9018
0.8956,0.8306
0.9188,0.8731
0.9027,0.8667
0.8696,0.8324
0.9329,0.9055
0.8346,0.8528
0.887,0.8576
0.8989,0.8607
0.8184,0.8494
0.8099,0.8466
0.9013,0.858
0.9486,0.8011
0.8667,0.8012
0.8269,0.8018
0.9367,0.8033
0.8635,0.8021
0.9313,0.801
0.8315,0.7999
0.8108,0.8
0.8007,0.8
0.8014,0.828
0.9668,0.8966
0.4605,0.802
0.5443,0.803
0.5835,0.8011
0.4956,0.8012
0.5261,0.8018
0.5138,0.8033
0.4966,0.8021
0.4795,0.801
0.47,0.7999
0.5137,0.4702
0.6566,0.8011
0.5859,0.8012
0.5705,0.8018
0.5364,0.8033
0.5571,0.8021
0.5363,0.801
0.5336,0.7999
0.6334,0.8
0.5766,0.8
0.6659,0.5908
0.4866,0.5368
0.5003,0.8011
0.5878,0.8012
0.5818,0.8018
0.5822,0.8033
0.5468,0.8021
0.5116,0.801
0.5479,0.7999
0.5923,0.8
0.5085,0.8
0.5828,0.5879
0.6628,0.6174
0.5407,0.8
0.5529,0.8011
0.523,0.8012
0.5564,0.8018
0.4701,0.8033
0.5443,0.8021
0.6214,0.801
0.5614,0.7999
0.5576,0.8
0.5667,0.5415
0.5586,0.576
0.5936,0.8
0.5284,0.8
0.4881,0.8
0.5311,0.8
0.5753,0.8
0.6371,0.8
0.5293,0.8
0.4982,0.8
0.5657,0.8
0.5633,0.5606
0.4776,0.5496
0.6397,0.5598
0.5899,0.5673
0.5341,0.5131
0.683,0.5931
0.6685,0.5883
0.4905,0.5696
0.5341,0.5664
0.6185,0.5692
0.6132,0.5738
0.5882,0.5332
0.5826,0.5528
0.5164,0.5507
0.5543,0.5556
0.6029,0.5388
0.5834,0.6111
0.6119,0.6271
0.525,0.565
0.5657,0.5789
0.6441,0.5811
0.5383,0.5657
0.5149,0.5882
0.4833,0.487
0.5529,0.5379
0.5694,0.6157
0.5231,0.5584
0.6809,0.6468
0.51,0.5557
0.5218,0.5104
0.6011,0.5992
0.633,0.5655
0.5858,0.518
0.5361,0.5863
0.4896,0.5952
0.6137,0.5391
0.4932,0.5379
0.5826,0.5729
0.6104,0.5605
0.5831,0.5708
0.5305,0.5773
0.6393,0.5954
0.6599,0.6452
0.6702,0.5948
0.5535,0.5588
0.5858,0.6116
0.5662,0.5652
0.6035,0.571
0.6813,0.6301
0.6365,0.5947
0.6361,0.6389
0.5675,0.647
0.6057,0.5657
0.5891,0.6141
0.5394,0.5826
0.4642,0.5439
0.6156,0.6113
0.5676,0.6009
0.6069,0.6114
0.5321,0.6
0.6886,0.6579
0.5866,0.6729
0.6551,0.6275
0.6505,0.605
0.6947,0.6485
0.6875,0.658
0.6816,0.6496
0.7367,0.6651
0.6438,0.6287
0.5646,0.6066
0.6105,0.6018
0.4908,0.5462
0.6257,0.5978
0.6409,0.6268
0.5956,0.6108
0.6072,0.6191
0.6222,0.6395
0.6211,0.5887
0.7546,0.6851
0.6547,0.658
0.6155,0.6659
0.5418,0.6693
0.7233,0.67
0.7449,0.6668
0.6289,0.6384
0.6844,0.6601
0.5954,0.6216
0.6636,0.68
0.5936,0.6488
0.5024,0.6341
0.707,0.6752
0.6528,0.7037
0.6274,0.6578
0.6017,0.6186
0.7475,0.6361
0.6569,0.6316
0.6533,0.6773
0.6048,0.6419
0.6418,0.6418
0.6379,0.626
0.6252,0.6155
0.6829,0.6811
0.6173,0.6683
0.6322,0.6393
0.6709,0.6506
0.641,0.6216
0.5905,0.6279
0.6139,0.648
0.6308,0.5873
0.7457,0.7094
0.701,0.629
0.6773,0.6815
0.739,0.6322
0.7249,0.6557
0.6273,0.6341
0.999,0.999
0.998,0.998
0.997,0.997
0.997,0.997
0.999,0.999
0.988,0.988
1,1
1,1
0.6148,0.998
0.5672,0.603
0.5807,0.5761
0.5925,0.5772
0.6705,0.6502
0.5326,0.5983
0.6042,0.5923
0.5974,0.5598
0.5378,0.537
0.5936,0.6257
0.5551,0.5819
0.6766,0.6032
0.4921,0.5261
0.5608,0.637
0.4804,0.5728
0.5219,0.5414
0.5243,0.5166
0.6183,0.588
0.5454,0.5717
0.6021,0.5616
0.5777,0.553
0.5478,0.5379
0.5484,0.6072
0.5609,0.5649
0.5869,0.5946
0.4976,0.592
0.5274,0.574
0.5856,0.5789
0.5253,0.5553
0.5883,0.5724
0.4991,0.4757
0.5708,0.5449
0.4578,0.527
0.6034,0.5487
0.4072,0.5614
0.6759,0.5625
0.5671,0.5554
0.5481,0.584
0.6224,0.6324
0.6163,0.5913
0.5905,0.5839
0.6145,0.6361
0.5479,0.5508
0.643,0.5396
0.6111,0.6008
0.5243,0.546
0.6939,0.5858
0.4837,0.6037
0.5688,0.5692
0.5545,0.5706
0.5748,0.589
0.6332,0.5729
0.493,0.5215
0.6033,0.5587
0.5385,0.5803
0.4475,0.4733
0.4431,0.54
0.5739,0.571
0.5987,0.5545
0.4884,0.5612
0.6028,0.6078
0.5871,0.5832
0.5955,0.5895
0.3942,0.5251
0.4155,0.5052
0.4832,0.5434
0.5165,0.5189
0.4673,0.5223
0.5674,0.5409
0.5298,0.574
0.5432,0.5081
0.6328,0.5414
0.5805,0.5323
0.5391,0.5363
0.6197,0.5933
0.601,0.5957
0.5285,0.5458
0.6602,0.5397
0.5441,0.5846
0.5384,0.5396
0.4668,0.5055
0.5576,0.5557
0.5613,0.5365
0.4924,0.5468
0.5075,0.5416
0.586,0.5846
0.5285,0.5263
0.6316,0.5755
0.6593,0.543
0.5357,0.5516
0.4775,0.4707
0.507,0.542
0.5398,0.5172
0.5164,0.5655
0.5568,0.5725
0.5139,0.5683
0.46,0.5206
0.5572,0.5384
0.5589,0.5153
0.478,0.5037
0.5818,0.5533
0.6524,0.5651
0.477,0.5731
0.5471,0.4919
0.5344,0.5148
0.4194,0.4913
0.4798,0.5515
0.6021,0.539
0.4194,0.5111
0.4397,0.4711
0.4847,0.4957
0.4821,0.5412
0.4336,0.5338
0.4577,0.5293
0.5541,0.528
0.577,0.495
0.5281,0.5322
0.5211,0.5334
0.6367,0.5734
0.5356,0.5191
0.5236,0.5398
0.4677,0.5058
0.43,0.4791
0.5039,0.5128
0.5088,0.5055
0.5098,0.5045
0.5404,0.5583
0.5879,0.5026
0.6026,0.5544
0.6821,0.578
0.5339,0.5538
0.6312,0.5601
0.5423,0.5159
0.5692,0.5712
0.5916,0.5706
0.6812,0.5753
0.5724,0.5109
0.6669,0.6129
0.5605,0.5628
0.6782,0.6008
0.4924,0.5403
0.6534,0.6234
0.6329,0.6117
0.5457,0.5977
0.661,0.6225
0.6051,0.608
0.4807,0.5556
0.4786,0.5305
0.6028,0.5987
0.4256,0.5469
0.6311,0.5835
0.5379,0.5508
0.6058,0.5496
0.515,0.5221
0.5442,0.5573
0.4845,0.5376
0.5917,0.5845
0.4411,0.5549
0.5309,0.5603
0.5871,0.5953
0.6209,0.5903
0.5784,0.5549
0.4936,0.5436
0.5887,0.5772
0.5825,0.6127
0.6031,0.5946
0.6385,0.6184
0.5452,0.556
0.5764,0.5237
0.5349,0.6078
0.5241,0.6138
0.5936,0.6703
0.7117,0.665
0.5815,0.6352
0.6358,0.6335
0.6534,0.6601
0.634,0.6568
0.7592,0.7034
0.543,0.6499
